Country,Description,TotalRevenue
United Kingdom,REGENCY CAKESTAND 3 TIER,141996.09000000003
Germany,POSTAGE,19998.0
France,POSTAGE,15454.0
Netherlands,ROUND SNACK BOXES SET OF4 WOODLAND,7991.400000000001
EIRE,REGENCY CAKESTAND 3 TIER,7793.249999999996
Spain,POSTAGE,5852.0
Belgium,POSTAGE,4269.0
Switzerland,POSTAGE,4002.0
Finland,POSTAGE,3650.0
Portugal,POSTAGE,2508.0
Norway,POSTAGE,2170.5
Australia,SET OF 6 SPICE TINS PANTRY DESIGN,2082.0
Sweden,SET OF 3 CAKE TINS PANTRY DESIGN,1767.1500000000003
Austria,POSTAGE,1456.0
Italy,POSTAGE,1363.0
Japan,RED SPOTTY BISCUIT TIN,858.0
Denmark,POSTAGE,744.0
Malta,POSTAGE,655.0
Cyprus,RUSTIC SEVENTEEN DRAWER SIDEBOARD,580.0
Israel,REGENCY CAKESTAND 3 TIER,551.0999999999999
Channel Islands,REGENCY CAKESTAND 3 TIER,517.8
Hong Kong,CHILDRENS CUTLERY POLKADOT PINK,398.4
Iceland,3D DOG PICTURE PLAYING CARDS,371.7
Poland,POSTAGE,360.0
Singapore,DOORMAT UNION FLAG,340.8
Greece,POSTAGE,335.0
Bahrain,OCEAN SCENT CANDLE IN JEWELLED BOX,231.24
Brazil,REGENCY CAKESTAND 3 TIER,175.2
USA,SET 6 SCHOOL MILK BOTTLES IN CRATE,162.72
Lebanon,REGENCY CAKESTAND 3 TIER,153.0
United Arab Emirates,REGENCY CAKESTAND 3 TIER,153.0
European Community,POSTAGE,141.0
Lithuania,GREY FLORAL FELTCRAFT SHOULDER BAG,135.0
Canada,LUNCH BAG BLACK SKULL,82.5
Czech Republic,ROUND SNACK BOXES SET OF4 WOODLAND,70.80000000000001
Unspecified,JAM MAKING SET WITH JARS,70.5
RSA,CLASSIC METAL BIRDCAGE PLANT HOLDER,38.25
Saudi Arabia,PLASTERS IN TIN STRONGMAN,19.8
